0TE0000007	일기 #86
0TE0000008	DCTA 지하철 지도[CRLF]------------------------------------
0TE0000079	메인프레임 연결 초기화
0TE0000081	아르키메데스 테스트
0TE0000082	방문 예정
0TE0000091	송전망 설정
0TE0000092	아르키메데스 발전소 방어 시스템 가동
0TE0000093	아르키메데스 발전소 방어 시스템 해제
0TE0000094	첫 번째 실험
0TE0000101	후버 댐 경비 보고서
0TE0000102	경비 근무자 명단
0TE0000103	정비 보고서
0TE0000104	비행 제어 업데이트
0TE0000105	출력 설정을 선택해주십시오.[CRLF]
0TE0000107	1) 맥캐런과 라스 베가스 스트립
0TE0000108	2) 프리몬트와 웨스트사이드
0TE0000109	3) 전 지역
0TE0000110	4) 아르키메데스 II
0TE0000111	5) 전 지역 (비상 출력 레벨)
0TE0000112	히든 밸리 데이터 저장소
0TE0000116	사건 #1
0TE0000117	사건 #2
0TE0000118	사건 #3
0TE0000119	사건 #4
0TE0000134	볼트 22 내부 실험실 네트워크, 산소 재생 주 시스템
0TE0000135	경고: 시스템 진단 중 메모리 손상을 감지했습니다.
0TE0000137	재고 확인
0TE0000144	뉴 가나안 지부 제안서
0TE0000145	Re: 헨리 제이미슨
0TE0000146	건 러너 관세
0TE0000147	전쟁 물자
0TE0000151	실험 결과
0TE0000153	"말해도 될까?"
0TE0000155	히든 밸리 네트워크
0TE0000156	정말로 자폭 절차를 가동하시겠습니까?
0TE0000158	그래.
0TE0000161	엘더 맥나마라의 명령에 따라, 벙커의 자폭 절차를 실행하려면 수석 서기, 수석 팔라딘, 그리고 엘더의 동의가 있어야 합니다.
0TE0000162	그래서 브라더후드는 비상시에 대비하여 벙커의 자폭용 키카드를 세 사람에게 주었습니다. 세 개의 카드가 전부 입력될 경우, 오른쪽에 있는 단말기에 자동으로 비밀번호가 생성됩니다.
0TE0000163	키카드를 분실하면 즉시 엘더에게 알려주시기 바랍니다.
0TE0000165	자폭 절차 비밀번호 생성
0TE0000168	히든 밸리 자폭 시스템에 오신 것을 환영합니다.
0TE0000170	벙커 자폭 절차 시행
0TE0000171	자폭 절차 중지
0TE0000332	보안 경보 해제.
0TE0000355	포탑 방어 시스템 가동
0TE0000389	현재 재고
0TE0000390	일지 기록 #1836
0TE0000391	일지 기록 #2257
0TE0000392	금고 접근
0TE0000393	선셋 사르사파릴라 관리 제어
0TE0000394	노동자 MHDY133 - 구역: 복도
0TE0000395	현재 상태: 사용 불가
0TE0000396	노동자 MHDY134 - 구역: 사무실
0TE0000398	노동자 MHDY135 - 구역: 병뚜껑 제작소, 적하장
0TE0000399	현재 상태: 대기 중
0TE0000401	노동자 MHDY135 가동
0TE0000409	단말기 비활성화
0TE0000410	타겟 매개 변수 변경
0TE0000414	승인 대상 설정
0TE0000417	대상을 설정하십시오. 저장된 대상만 설정할 수 있습니다:
0TE0000419	브라더후드 등록 인원으로 제한 
0TE0000420	미등록 인원 포함
0TE0000422	환영합니다, 팔라딘 라모스.
0TE0000423	최근 접속한 세 개의 파일을 표시.
0TE0000425	저널 651 읽기
0TE0000426	저널 652 읽기
0TE0000427	저널 653 읽기
0TE0000431	환영합니다, 슐러.
0TE0000434	일지 기록 01
0TE0000435	일지 기록 260
0TE0000436	일지 기록 261
0TE0000438	초기 재고 보고서
0TE0000439	이것들이 뭔지 모르겠다
0TE0000440	대단하군. 아주 끝내주네.
0TE0000445	오버시어로부터의 메세지
0TE0000446	기록 #45
0TE0000447	기록 #46
0TE0000451	일지 기록 98
0TE0000455	일지 기록 65
0TE0000459	일지 #479
0TE0000460	일지 #480
0TE0000461	일지 #481
0TE0000462	일지 #482
0TE0000463	일지 #483
0TE0000464	일지 #484
0TE0000468	일지 #138
0TE0000469	일지 #139
