1NO0000001	-----사건 번호 45602-----[CRLF]
1NO0000002	부문: 압수[CRLF]
1NO0000003	차량 번호: 16598325-64178-A366[CRLF]
1NO0000004	소유주: 제니퍼 윌킨스[CRLF]
1NO0000005	위반 사항:
1NO0000006	주차 위반 4회 <미지불>[CRLF]
1NO0000007	기록:
1NO0000008	견인하는 동안, 범인은 차에 아이가 타고 있다며 견인차 운전자와 입씨름을 벌였다. 견인 이후의 정밀 조사에 의해, 그녀의 아이가 실제로 뒷 좌석에 타고 있음이 밝혀졌다. 결국 아이는 분실물 보관소로 옮겨져, 윌킨스씨가 견인료를 내고 차를 되찾아 갈 때 까지 방치 되었다.[CRLF]
1NO0000009	나는 이 기록을 통해 미국 기록부를 대신하여 공식적인 이의를 제기하려 한다. 메드-텍 연구소는 로툰다 외곽에 있는 포상금 지급 단말기에 과일맛 맨토스를 실은 마지막 선박을 막 보낸 참이다. 나는 이 미국 역사의 기념비가 메드-텍의 실험장으로 사용하는 것이 기껍지 않다. 이 장소는 실험실이 아닌 엄숙한 자기 반성의 장이 되어야 한다. 추후에, 우리 전시품의 스폰서를 고를 때는 나에게 사전에 상담해 주었으면 감사하겠다.[CRLF]
1NO0000010	로툰다의 화물 리프트가 이제 비권한 접근과 간섭을 차단하기 위해 완전한 보안 폐쇄 시스템을 갖추었다는 것을 주의하기 바란다. 현재로서 로툰다쪽에서 리프트를 이용하는 방법은 관리실 단말기를 플로어 데이터 포트로 직접 연결하도록 수정하는 것 뿐이다.[CRLF]
1NO0000011	라디오 업링크와 주파수 프로그램을 이용하여 토머스 제퍼슨 프로텍트론 연기자의 음성 프로그램을 바꾸는 것에 관한 정보를 가진 사람이 있다면, 제 사무실에 들러 주십시오. 저는 어느 누구와 마찬가지로 유머를 좋아하지만, 이 시설에서 일하는 어떤 이들은 장난을 계속하고 있으며 이는 중지되어야 합니다.[CRLF]
1NO0000012	JADAM002 즉 존 아담스 유닛은 본래 독립 선언서 서명 재연 행사의 참석자로서 디자인 되었습니다. 이 유닛은 후에 미국 대통령이 되는 메사추세츠의 존 아담스 역할을 연기 합니다. 그리고 이 유닛은 안내 가이드 보조 서브루틴과 제한된 보안 서브루틴도 포함해서 프로그래밍 되었습니다.[CRLF]
1NO0000013	BFRAN001 즉 벤자민 프랭클린 유닛은 본래 독립 선언서 서명 재연 행사의 참석자로서 디자인 되었습니다. 이 유닛은 독립 선언 현장의 최고령자였던 버지니아의 벤자민 프랭클린 역할을 연기 합니다. 그리고 이 유닛은 안내 가이드 보조 서브루틴과 제한된 보안 서브루틴도 포함해서 프로그래밍 되었습니다.[CRLF]
1NO0000014	ERUTL001 즉 에드워드 루틀리지 유닛은 본래 독립 선언서 서명 재연 행사의 참석자로서 디자인 되었습니다. 이 유닛은 독립 선언문 서명자 중 최연소자였던 사우스 캐롤라이나의 에드워드 루트리지 역할을 연기 합니다. 그리고 이 유닛은 안내 가이드 보조 서브루틴과 제한된 보안 서브루틴도 포함해서 프로그래밍 되었습니다.[CRLF]
1NO0000015	BFRAN001 즉 벤자민 프랭클린 유닛은 본래 독립 선언문 서명 재연 행사의 참석자로서 디자인 되었습니다. 이 유닛은 독립 선언 현장의 최고령자였던 버지니아의 벤자민 프랭클린 역할을 연기 합니다. 그리고 이 유닛은 안내 가이드 보조 서브루틴과 제한된 보안 서브루틴도 포함해서 프로그래밍 되었습니다.[CRLF]
1NO0000016	JWILS002 즉 제임스 윌슨 유닛은 본래 독립 선언서 서명 재연 행사의 참석자로서 디자인 되었습니다. 이 유닛은 후에 미국 대법관이 되는 펜실베니아의 제임스 윌슨 역할을 연기 합니다. 그리고 이 유닛은 안내 가이드 보조 서브루틴과 제한된 보안 서브루틴도 포함해서 프로그래밍 되었습니다.[CRLF]
1NO0000017	TJEFF002 즉 토마스 제퍼슨 유닛은 본래 독립 선언서 서명 재연 행사의 참석자로서 디자인 되었습니다. 이 유닛은 독립선언문의 주요 작성자이며 후에 미국 대통령이 되는 버지니아의 토머스 제퍼슨 역할을 연기 합니다. 그리고 이 유닛은 안내 가이드 보조 서브루틴과 제한된 보안 서브루틴도 포함해서 프로그래밍 되었습니다.[CRLF]
1NO0000018	라디오 업링크와 주파수 프로그램을 이용하여 토머스 제퍼슨 프로텍트론 연기자의 음성 프로그램을 바꾸는 것에 관한 정보를 가진 사람이 있다면, 버클리 관리자의 사무실에 들르십시오. 해당 유닛은 손상을 수리할 때 까지 오프라인 상태로 두어야 합니다.[CRLF]
1NO0000019	로봇 공학 팀 - P. 브란트제크[CRLF]
1NO0000020	이안의 구금실 문을 여는 암호는 "베스페르틸로" 이다.[CRLF]
1NO0000021	볼트 안에서의 매일매일은 자유의 날이며, 외부의 공포로부터 안전한 날입니다. 항상 새로운 하루를 축하하고, 당신의 보금자리에 감사하며 지냅시다.[CRLF]
1NO0000022	당신 자신을 받아들이고 볼트 안에서 당신의 역할을 수용 하십시오. 무가치한 직업도, 무가치한 사람도 없습니다. 물론 직업이 없는 사람은 예외입니다.[CRLF]
1NO0000023	충성으로써 우리는 강해집니다. 주의함으로써 우리는 안전해집니다. 볼트 안에 있으면 우리는 살 수 있습니다.[CRLF]
1NO0000024	볼트는 우리의 세계이며 구원입니다. 볼트 밖에는 죽음밖에 없습니다.[CRLF]
