0TE0000007	Diary Entry #86
0TE0000008	DCTA Metro Map ------------------------------------
0TE0000079	Reset Mainframe Connection
0TE0000081	ARCHIMEDES Testing
0TE0000082	Upcoming Visit
0TE0000091	Configure Power Grid
0TE0000092	Arm ARCHIMEDES Plant Defense System
0TE0000093	Disarm ARCHIMEDES Plant Defense System
0TE0000094	Initial Trials
0TE0000101	Hoover Dam Security Report
0TE0000102	Security Duty Roster
0TE0000103	Engineering Report
0TE0000104	Flight Control Update
0TE0000105	Select output configuration.
0TE0000107	1) McCarran and Las Vegas Strip
0TE0000108	2) Fremont and Westside
0TE0000109	3) Full Region
0TE0000110	4) ARCHIMEDES II
0TE0000111	5) Full Region (Emergency Output Level)
0TE0000112	Hidden Valley Datastore
0TE0000116	Incident #1
0TE0000117	Incident #2
0TE0000118	Incident #3
0TE0000119	Incident #4
0TE0000134	Vault 22 Interlab Network, Oxygen Recycling Main System
0TE0000135	Warning: System diagnostic shows that memory has been corrupted.
0TE0000137	Check inventory
0TE0000144	New Canaan Branch Proposal
0TE0000145	Re: Henry Jamison
0TE0000146	Gun Runner Tariff
0TE0000147	War Effort
0TE0000151	Results
0TE0000153	"Can I Tell Him?"
0TE0000155	Hidden Valley Network
0TE0000156	Are you sure you would like to initiate the self-destruct sequence?
0TE0000158	Yes.
0TE0000161	By order of Elder McNamara, engaging the bunker's self-destruct sequence requires the assent of the Head Scribe, Head Paladin, and Elder of the chapter.
0TE0000162	Each of these Brothers has been given a keycard to be produced in case of emergency. When all three keycards are inserted below, the password to the self-destruct terminal to the right will be generated.
0TE0000163	Please report a lost or stolen keycard immediately.
0TE0000165	Generate self-destruct password
0TE0000168	Welcome to the Hidden Valley Self-Destruct System.
0TE0000170	Begin bunker self-destruct sequence
0TE0000171	Abort self-destruct sequence
0TE0000332	Cancel security alert.
0TE0000355	Activate Turret Defense System
0TE0000389	Current Inventory
0TE0000390	Log Entry #1836
0TE0000391	Log Entry #2257
0TE0000392	Access Safe
0TE0000393	Sunset Sarsaparilla Custodial Control
0TE0000394	Worker MHDY133 - Area: Hallways
0TE0000395	Current Status: Unavailable
0TE0000396	Worker MHDY134 - Area: Offices
0TE0000398	Worker MHDY135 - Area: Bottling, Shipping
0TE0000399	Current Status: Standby
0TE0000401	Activate Worker MHDY135
0TE0000409	Disable Terminals
0TE0000410	Change targeting parameters
0TE0000414	Set allowed targets
0TE0000417	Choose allowed targets. Only stored entries may be chosen:
0TE0000419	Registered Brotherhood Personnel
0TE0000420	All unregistered personnel
0TE0000422	Welcome, Paladin Ramos.
0TE0000423	Displaying last three files accessed.
0TE0000425	Read Journal 651
0TE0000426	Read Journal 652
0TE0000427	Read Journal 653
0TE0000431	Welcome, Schuler.
0TE0000434	Journal Entry 01
0TE0000435	Journal Entry 260
0TE0000436	Journal Entry 261
0TE0000438	Initial Inventory Report
0TE0000439	No Clue What These Are
0TE0000440	Great. Just Great.
0TE0000445	A Message From The Overseer
0TE0000446	Log #45
0TE0000447	Log #46
0TE0000451	Journal Entry 98
0TE0000455	Journal Entry 65
0TE0000459	Log #479
0TE0000460	Log #480
0TE0000461	Log #481
0TE0000462	Log #482
0TE0000463	Log #483
0TE0000464	Log #484
0TE0000468	Journal #138
0TE0000469	Journal #139
0TE0000473	Journal Entry #209
0TE0000474	Journal #210
0TE0000478	Log Entry 56
0TE0000479	Log Entry 74
0TE0000483	Journal Entry 194
0TE0000484	Journal Entry 206
0TE0000488	Journal Entry # 86
0TE0000491	Recover Data
0TE0000495	Journal Entry 167
0TE0000496	Journal Entry 168
0TE0000500	My Journal: Entry 74
0TE0000505	NCRA RECORDOTRON Squad Readiness Report Database
0TE0000508	Squad CG554-2 "Misfits"
0TE0000509	Ranger Detachment Alpha
0TE0000510	Ranger Detachment Bravo
0TE0000511	Ranger Detachment Charlie
0TE0000512	NCRA Troop Dispositionator ME
0TE0000515	Delete Misfits Combat Patrol Mission
0TE0000519	Rifle Range Report
0TE0000521	Grenade Range Report
0TE0000523	Alter Readiness Reports
0TE0000524	REPCONN Security Terminal
0TE0000526	Add user Facial Data To Database
0TE0000527	Inter-office Correspondence #345759
0TE0000528	Inter-office Correspondence #345776
0TE0000531	Hermes Communications, Inc.
0TE0000532	Black Mountain Submatrix
0TE0000558	REPCON
0TE0000560	Add user Facial Data To Security Database
0TE0000561	REPCONN Badge Processing
0TE0000563	Print Executive Security Badge
0TE0000564	Inter-office Correspondence #3262725
0TE0000565	Good day Mr. Isley
0TE0000568	RE: RobCo
0TE0000569	Inter-office Correspondence #3457477
0TE0000570	Journal-It Software ?2072 PagSoft
0TE0000571	USER: suk me  hahaha
0TE0000577	Good day Ms. Masters
0TE0000579	Encrypted Message
0TE0000580	Q-35 Release Notes
0TE0000581	Inter-office Correspondence #3262173
0TE0000582	Inter-office Correspondence #3262178
0TE0000583	Inter-office Correspondence #3262719
0TE0000587	Vault 11 Election Guide
0TE0000588	Notice of Postponement
0TE0000592	Security Recording
0TE0000598	Deposition
0TE0000605	Open Sacrificial Chamber
0TE0000606	Close Sacrificial Chamber
0TE0000609	Prepared Speech of Gus Olson, Ombudsman
0TE0000611	Override Lockdown.
0TE0000613	Automated Response: Vault 11 Solution
0TE0000620	*** East Pump Station Terminal ***
0TE0000621	*** Authorized Personnel Only ***
0TE0000623	WARNING
0TE0000626	Lake Las Vegas Status
0TE0000627	East Station Status
0TE0000628	West Station Status
0TE0000632	Activate Reactor
0TE0000633	Inactive Reactor
0TE0000637	Power Reactor.
0TE0000638	Good day Mr. Steeple
0TE0000640	Inter-office Correspondence #3262091
0TE0000641	Inter-office Correspondence #3262099
0TE0000642	Inter-office Correspondence #3262105
0TE0000643	Inter-office Correspondence #3458503
0TE0000644	Disable Robots
0TE0000645	Good day Ms. Wang
0TE0000648	Inter-office Correspondence #3457785
0TE0000649	Inter-office Correspondence #3458631
0TE0000650	Inter-office Correspondence #3458642
0TE0000651	Inter-office Correspondence #3458648
0TE0000656	Marcus made me type this
0TE0000657	It's a radio station!
0TE0000658	On the air!
0TE0000659	The elite!
0TE0000660	Alone at last!
0TE0000661	Safe!
0TE0000662	Lucky!
0TE0000671	Vault Security and Control Center
0TE0000672	Please Select from the Following Menu Options:
0TE0000674	Vault Security
0TE0000675	Vault Life Support
0TE0000676	Vault Access Control
0TE0000678	Security Recording: Vault Entrance
0TE0000685	Parts
0TE0000686	Welcome, Mr. House.
0TE0000688	Status Log
0TE0000689	Turret Status
0TE0000690	Protectron Status
0TE0000691	Sentrybot Status
0TE0000713	Isabella Proud's Journal
0TE0000739	Reload DataStore
0TE0000742	Download Research Notes
0TE0000746	Open Antechamber.
0TE0000751	Unseal LS Chamber.
0TE0000752	Sterilize LS Chamber.
0TE0000753	Disable Cerebral Interface.
0TE0000755	Main Menu
0TE0000757	Check mail
0TE0000758	Check maintenance system
0TE0000761	Mail System
0TE0000762	You have the following messages:
0TE0000764	Water Leak
0TE0000765	Great Job
0TE0000768	From: Clark Weathers, VP of Operations
0TE0000769	Subject: Water Leak
