1QU0000001	아빠한테 걸어가 보아요.
1QU0000002	놀이방 문을 열어 보아요.
1QU0000003	놀이방을 나가 보아요.
1QU0000004	장난감 상자에 손이 닿을 수 있게 의자 위로 뛰어 올라 가 보아요.
1QU0000005	장난감을 집어서 놀이용 자리에 끌어다 놔 보아요.
1QU0000006	장난감을 가지고 놀아 보아요.
1QU0000007	아빠를 따라 가보아요.
1QU0000008	당신은 특별해요!라고 쓰인 책을 보아요.
1QU0000009	파티를 즐기고 손님들과 이야기 하자.
1QU0000010	반응로가 있는 층으로 가서 조나스와 만나자.
1QU0000011	BB 총으로 방사능바퀴를 해치우자.
1QU0000012	조나스가 사진을 찍을 수 있도록 아빠 옆으로 가서 서자.
1QU0000013	BB탄 총으로 3개의 과녁을 모두 맞혀보자.
1QU0000014	자리에 앉아서 G.O.A.T(표준 직업 적성검사)를 받아보자.
1QU0000015	교실로 가서 브로치 선생님에게 G.O.A.T.에 대해서 물어 보자.
1QU0000016	교실에서 나가자.
1QU0000017	브로치 선생님에게 G.O.A.T.시험지를 제출 하자.
1QU0000018	아마타와 대화해서 볼트 탈출 계획에 대해서 들어 보십시오.
1QU0000019	오버시어 사무실에 들어가십시오.
1QU0000020	반응로 조종실에 들어가십시오.
1QU0000021	전원을 다시 넣으십시오.
1QU0000022	볼트 문을 열어 주십시오.
1QU0000023	오버시어의 컴퓨터를 이용하여 비밀통로를 찾으십시오.
1QU0000024	볼트를 탈출하십시오.
1QU0000025	가까운 도시 메가톤에서 아버지의 정보를 탐문하십시오. (한글화 by 볼트5000, 수도 황무지)
1QU0000026	아버지에 관해 콜린 모리아티하고 대화하십시오.
1QU0000027	갤럭시 뉴스 라디오(GNR) 방송국을 찾으십시오.
1QU0000028	슈퍼 뮤턴트 베히모스를 해치우는 일을 도와 주십시오.
1QU0000029	아버지에 대해 쓰리독에게 질문하십시오.
1QU0000030	계속해서 아버지의 행방을 수소문하십시오.
1QU0000031	(선택) 스프링베일에 있는 실버를 처리하십시오.
1QU0000032	죽은 브라더후드 병사의 몸으로부터 팻-맨을 회수 하십시오.
1QU0000033	기술 박물관을 찾으십시오.
1QU0000034	접시모양 위성 안테나를 회수 하십시오.
1QU0000035	워싱턴 기념관을 찾으십시오.
1QU0000036	고장난 무선 중계기를 고치십시오.
1QU0000037	쓰리독에게 아버지에 관해 말하십시오.
1QU0000038	무기 은닉처에 대해 쓰리독에게 말하십시오.
1QU0000039	리벳시티로 진입하십시오.
1QU0000040	리 박사에게 아버지와 정화 계획에 대해서 이야기 하십시오.
1QU0000041	정화 계획 제어실로 가서 아버지를 찾으십시오.
1QU0000042	아버지의 녹음테잎들을 찾아, 아버지가 있는 곳에 대한 단서를 알아내십시오.
1QU0000043	아버지의 개인 일기 10번째 항목을 들어 주십시오.
1QU0000044	볼트 112로 진입하십시오.
