MOD0000001	천만에.
MOD0000002	끝났네요.
MOD0000003	...그게 다야.
MOD0000004	개
MOD0000005	무슨 짓을 했지?
MOD0000006	몸조심해요.
MOD0000007	알았어요.
MOD0000008	알겠습니다.
MOD0000009	좋아요.
MOD0000010	미안해 할 거 없어요.
MOD0000011	부탁합니다.
MOD0000012	정말인데.
MOD0000013	비켜주십시오.
MOD0000014	감사는 됐어.
MOD0000015	정말인가?
MOD0000016	이제 어떻게 되는 겁니까?
MOD0000017	뭐로 하시겠습니까?
MOD0000018	뭐가 필요하세요?
MOD0000019	여기 있어요.
MOD0000020	아니, 못 봤는데.
MOD0000021	물어보시죠.
MOD0000022	통과.
MOD0000023	통나무
MOD0000024	물어보세요.
MOD0000025	당신에 대해 말해줘.
MOD0000026	좋아.
MOD0000027	알겠습니다.
MOD0000028	고마워요!
MOD0000029	고마워요!
MOD0000030	네?
MOD0000031	뭘 알고 싶으시죠?
MOD0000032	더 필요한 게 있나요?
MOD0000033	알았어요.
MOD0000034	고맙다!
MOD0000035	없다.
MOD0000036	그래.
MOD0000037	신경 쓰지 마.
MOD0000038	너와 여행할 준비가 됐어.
MOD0000039	이제 어쩌지?
MOD0000040	안 돼요.
MOD0000041	몸조심하세요.
MOD0000042	말씀하세요.
MOD0000043	조심하세요.
MOD0000044	어서 와.
MOD0000045	당신 사연은 뭐지?
MOD0000046	좋아, 뭐가 궁금하지?
MOD0000047	또 보네요.
MOD0000048	무슨 일이죠?
MOD0000049	고마워. 진심이야.
MOD0000050	네 과거에 대해 말해줘.
MOD0000051	둘러보시죠.
MOD0000052	그럼 이만.
MOD0000053	좋습니다.
MOD0000054	궁금한 게 뭐죠?
MOD0000055	알고 싶은 게 뭐죠?
MCM0000001	모드 설정
MCM0000002	왼쪽의 목록에서 설정하고자 하는 모드를 선택하세요.
MCM0000003	모드 설정 메뉴(MCM)가 설치되었습니다.
MCM0000004	오류
MCM0000005	모드 설정 메뉴가 메뉴 파일에 접근할 수 없습니다. 파일이 없거나, NVSE에 오류가 있거나, 방화벽/UAC가 접근을 막고 있습니다.[CRLF][CRLF]모드를 재설치하시거나, 32비트 Visual C++ 2010 재배포 패키지를 업데이트 하시거나, 방화벽/UAC 설정을 변경하십시오.
MCM0000006	왼쪽의 목록에서 설정하고자 하는 세부 메뉴를 선택하세요.
JSW0000001	JSawyer가 로드되었습니다.
JSW0000002	[CRLF]주의:
JSW0000003	[CRLF]* 모드 사용 중 발생하는 문제는 전적으로 사용자의 책임입니다.
JSW0000004	* 이 모드는 *반드시* 새로운 게임 시작 시에 적용해야 제대로 작동합니다.  플레이 중이던 게임에 적용하면 오류가 날 수 있습니다!
JSW0000005	* 이 모드는 기본 게임 및 모든 DLC가 필요합니다. (데드 머니, 어니스트 하츠, 올드 월드 블루스, 론섬 로드, 건 러너스 아스날, 커리어스 스태쉬(예약 구매 특전))
JSW0000006	* 이 모드는 모드 매니저를 통해 적용해야 하며, 앞에 언급한 esm 파일들 아래에 위치해야 합니다.
JSW0000007	* 이 모드는 정식 패치가 아니라 최종 사용자용 난이도 변경 및 버그픽스 모드입니다.
JSW0000008	근접 무기와 격투 기술의 비기를 익힌 결과, 베로니카는 이제 공격력이 25% 증가하고, 25%의 확률로 적을 넘어뜨립니다.
JSW0000009	캐러밴 팩, 클래식 팩, 용병 팩, 부족민 팩의 아이템들이 모하비 전역에 배치되었습니다.
JSW0000010	클래식 팩의 아이템들이 쳇의 상점에 추가되었습니다.
JSW0000011	용병 팩의 아이템들이 쳇의 상점에 추가되었습니다.
JSW0000012	부족민 팩의 아이템들이 쳇의 상점에 추가되었습니다.
JSW0000013	손도끼, 투척 도끼, 토마호크, 양성자 도끼, 투척용 양성자 도끼, 양성자 역위 도끼, 투척용 양성자 역위 도끼의 치명타 기회가 상승합니다.
JSW0000014	이러려고 도끼질한 건 아닌데[CRLF][%]\1[CRLF][CRLF]손도끼, 투척 도끼, 토마호크, 양성자 도끼, 투척용 양성자 도끼, 양성자 역위 도끼, 투척용 양성자 역위 도끼로 피해를 입힘.
JSW0000015	당신의 위장은 강철 같습니다. 방사능에 오염된 물이나 음식을 섭취했을 때 증가하는 방사능의 영향이 50% 감소하고, 날고기를 먹어도 힘 패널티를 받지 않습니다.
JSW0000016	당신은 근접 무기 공격과 격투 공격을 방어할 때 DT가 10 추가됩니다. 또한 전투 중에 쓰러지지 않습니다.
JSW0000017	당신의 운반 능력이 15 파운드만큼 증가하지만, 당신이 75 파운드미만의 짐을 들고 있을 때 모든 속성에 -1의 페널티가 주어집니다.
JSW0000018	아무도 당신을 일터 밖으로 내쫓지 않을 것입니다. 당신이 영원히 젊게(그리고 레벨 21으로) 살 것이기 때문이죠! 당신은 절대로 약물에 중독되지 않을 것이고, 지속 시간도 두 배로 증가할 것입니다... 하지만 레벨 21 이후에 당신은 경험치, 퍽, 그리고 스킬 포인트와는 작별 키스를 나누어야 할 것입니다!
JSW0000019	당신은 플라즈마에 푹 빠져서 참을 수 없습니다. 모든 플라즈마 무기(플라즈마 수류탄을 포함해서)의 AP 소모량이 20% 감소하고, 공격 속도 역시 20% 상승합니다.
JSW0000020	당신이 플라즈마 무기로 사살한 적에게서 해로운 기운이 뿜어져 나옵니다. 노트: 이 기운은 주변으로 번져 연쇄 작용을 일으킬 수 있습니다.
JSW0000021	아주 훌륭하고 진정한 보병의 솜씨! 9mm와 45 자동권총 및 기관단총, 제식 소총, 돌격용 카빈, 전투 소총, 경기관총, 세열 수류탄, 유탄 소총과 유탄 발사기, 그리고 전투용 단검의 피해가 20% 상승합니다.
JSW0000022	엘라이자는 이것이 베로니카에게 전해지길 원했지만, 먼저 줏은 사람이 임자죠. 그렇지 않나요?[CRLF][CRLF]당신은 엘라이자의 비밀기술을 습득하여, 근접 공격시 크리티컬 피해가 25% 늘어납니다.
JSW0000023	야생 구울을 마리아, 게헤나, 성스러운 세열 수류탄, 어둠 속에서 반짝이는 빛으로 죽임.
JSW0000024	이 퍽의 등급이 오를 때마다 모든 폭발형 무기에 10%의 추가 피해 효과가 생기고, 폭발 반경이 10% 넓어집니다.
JSW0000025	튼튼한 등짝 퍽이 있으면 25 파운드의 무게를 더 지닐 수 있습니다.
JSW0000026	전투 시, 여성인 적에게 주는 피해가 15% 상승합니다. 또한 이성과의 대화에서 가끔 특별한 선택지가 생기기도 합니다.
